Question category,Question,Values,"Comments (pop-up questions, open questions etc.)",Reference
,Onko unen määräsi arkisin koronaepidemian takia,1=lisääntynyt; 2=vähentynyt; 3=pysynyt ennallaan; -88 = filled in the questionnaire before 26.1.2021 when this question was not included,"Different wording in batches 3-4, spring 2021: Onko unen määräsi arkisin korona-aikana ",Our own corona question
,Onko unen määräsi viikonloppuisin koronaepidemian takia,1=lisääntynyt; 2=vähentynyt; 3=pysynyt ennallaan; -88 = filled in the questionnaire before 26.1.2021 when this question was not included,"Different wording in batches 3-4, spring 2021: Onko unen määräsi viikonloppuisin korona-aikana ",Our own corona question
Insomnia,"Valitse jokaisen alla olevan kysymyksen kohdalla se vastausvaihtoehto, joka parhaiten kuvaa nukkumistasi VIIMEISEN KUUKAUDEN aikana.  Arvioi univaikeuksiesi VAKAVUUTTA kolmessa ensimmäisessä kysymyksessä ",,,Insomnia Severity Index ISI
,Nukahtamisvaikeus,0 = Ei lainkaan ; 1 = Lievä ; 2 = Kohtalainen ; 3 = Vakava ; 4 = Erittäin vakava,,"Morin CM, Belleville G, Bélanger L, Ivers H. The Insomnia Severity Index: psychometric indicators to detect insomnia cases and evaluate treatment response. Sleep 2011;34:601-8"
,Unessapysymisvaikeus,0 = Ei lainkaan ; 1 = Lievä ; 2 = Kohtalainen ; 3 = Vakava ; 4 = Erittäin vakava,,
,Liian aikainen herääminen aamulla,0 = Ei lainkaan ; 1 = Lievä ; 2 = Kohtalainen ; 3 = Vakava ; 4 = Erittäin vakava,,
,Kuinka TYYTYVÄINEN/tyytymätön olet tämänhetkiseen nukkumiseesi ,0 = Erittäin tyytyväinen ; 1 = Tyytyväinen ; 2 = En osaa sanoa ; 3 = Tyytymätön ; 4 = Erittäin tyytymätön,,
,"Missä määrin arvioit nukkumisongelmasi HÄIRITSEVÄN päivittäistä toimintaasi (esim. aiheuttaa väsymystä päivällä, häiritsee suorituskykyäsi töissä/päivittäisissä askareissa, aiheuttaa keskittymis- ja muistamisvaikeuksia, vaikuttaa mielialaan)?",0 = Ei häiritse yhtään ; 1 = Häiritsee vähän ; 2 = Häiritsee jonkin verran ; 3 = Häiritsee paljon ; 4 = Häiritsee erittäin paljon,,
,Kuinka helposti luulet muiden HUOMAAVAN nukkumisongelmasi heikentäneen elämänlaatuasi ,0 = Eivät huomaa lainkaan  ; 1 = Juuri ja juuri ; 2 = Melko helposti  ; 3 = Helposti ; 4 = Huomaavat erittäin helposti,,
,Kuinka HUOLESTUNUT/ahdistunut olet tämänhetkisen nukkumisongelmasi vuoksi ,0 = En ollenkaan ; 1 = Vähän ; 2 = Jonkin verran ; 3 = Paljon ; 4 = Erittäin paljon,,
General psychiatric symptoms,Missä määrin sinua on viimeisen viikon aikana vaivannut,,,Symptom Checklist 90 (SCL90)
,Päänsärky,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,"Derogatis LR, Lipman RS, Covi L. SCL-90: an outpatient psychiatric rating scale--preliminary report. Psychopharmacol Bull. 1973 Jan;9(1):13-28. "
,Hermostuneisuus tai sisäinen rauhattomuus,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Ajatukset, sanat tai mielikuvat joita et saa mielestäsi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Heikotuksen tai huimauksen tunne,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Seksuaalisen mielenkiinnon tai nautinnon tunteen väheneminen,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Toisia kohtaan tuntemasi arvostelunhalu,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Ajatus, että joku voi säädellä ajatuksiasi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne siitä, että muut ovat syypäitä useimpiin vaikeuksiisi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Vaikeus muistaa asioita,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Pelko, että olet huolimaton tai piittaamaton",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että ärsyynnyt tai suutut helposti",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Sydän- tai rintakivut,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Pelontunne avoimilla paikoilla tai kadulla,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Tarmokkuuden puuttuminen tai väheneminen,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Ajatukset elämäsi lopettamisesta,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Se että kuulet ääniä, joita muut eivät kuule",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Vapina,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, ettei useimpiin ihmisiin voi luottaa",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Huono ruokahalu,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Itkuherkkyys,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Ujous tai vaivautuneisuus vastakkaisen sukupuolen seurassa,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että olet umpikujassa tai loukussa",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Pelästyminen äkillisesti ilman mitään syytä,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Tunteenpurkaukset joita et pysty hillitsemään,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Se, että pelkäät lähteä yksin ulos kotoa",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Itsesyytökset,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Kivut ristiselässä,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että olet lukossa etkä saa asioita hoidetuksi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Yksinäisyys,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Alakuloisuus,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Liika asioiden murehtiminen,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Kiinnostuksen puute lähes kaikkeen,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Pelokkuus,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Se että loukkaannut helposti,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Se että toiset ihmiset ovat tietoisia yksityisistä ajatuksistasi,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että muut ihmiset eivät ymmärrä sinua tai eivät tunne myötätuntoa sinua kohtaan",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että ihmiset ovat epäystävällisiä tai eivät pidä sinusta",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Se, että joudut tekemään asiat hyvin hitaasti välttääksesi virheitä",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Sydämentykytykset tai -jyskytykset,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Pahoinvointi ja vatsavaivat,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Huonommuudentunne,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Lihassäryt,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että sinua tarkkaillaan tai sinusta puhutaan",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Unensaantivaikeudet,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Tarve tarkistaa kerran tai useammin se mitä tekee,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Vaikeus tehdä päätöksiä,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Se että pelkäät matkustaa bussissa, metrossa tai junassa",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Hengenahdistus,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Kuumat tai kylmät aallot,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Se että joudut välttelemään tiettyjä asioita, paikkoja tai toimintoja, koska ne pelottavat sinua",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Muisti- tai ajatuskatkot,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Puutuminen tai pistely jossain ruumiinosassa,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Palantunne kurkussa,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Toivottomuus tulevaisuuden suhteen,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Keskittymisvaikeudet,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Heikkouden tunne jossain ruumiin osassa,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Jännittyneisyys tai kiihtyneisyys,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Painon tunne käsissä tai jaloissa,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Ajatukset kuolemasta tai kuolemisesta,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Ylensyöminen,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Vaivautuneisuus toisten puhuessa sinusta tai katsellessa sinua,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne ajatuksista, jotka eivät ole omiasi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Halu lyödä tai muuten vahingoittaa jotakuta,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Se, että heräät aikaisin aamulla etkä enää saa unta",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Sisäinen pakko toistaa jotain toimintaa (esim. koskettaminen, laskeminen tai peseminen) ",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Levoton ja katkonainen uni,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Pakonomainen halu rikkoa tai paiskoa esineitä,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Ajatukset tai uskomukset, joita muut eivät ymmärrä",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Häiritsevä tietoisuus omasta olemisesta toisten ihmisten seurassa,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Epämukavuuden tunne ollessasi aterioimassa tai kahvilla julkisella paikalla,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,"In the Finnish questionnaire, these two statements have changed places; in the Swedish version they are correct",
,"Tunne, että koko elämä on jatkuvaa ponnistelua",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Pelon tai pakokauhun puuskat,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Epämukavuuden tunne ollessasi ihmisten keskellä, esim. kaupoissa tai elokuvissa tms. ",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,"In the Finnish questionnaire, these two statements have changed places; in the Swedish version they are correct",
,Joutuminen usein väittelyihin,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Hermostuneisuus jäädessäsi yksin,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, etteivät toiset anna tarpeeksi arvoa saavutuksillesi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Yksinäisyyden tunne silloinkin, kun olet toisten seurassa",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Levottomuuden tunne, joka estää rauhassa istumisenkin",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Arvottomuuden tunteet,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että tutut asiat ovat outoja tai epätodellisia",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Halu huutaa tai heitellä esineitä,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Pelko, että pyörtyisit yleisellä paikalla",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että ihmiset yrittävät hyötyä kustannuksellasi, jos annat siihen tilaisuuden",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Seksuaalisuutta koskevat, häiritsevät asiat",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Ajatus, että sinua pitäisi rangaista synneistä",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että sinua painostetaan tekemään tehtäväsi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että jotakin on vakavasti vialla ruumiissasi",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, ettet koskaan ole ollut läheinen kenenkään kanssa",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Syyllisyydentunteet,0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,"Tunne, että ""päässäsi on jotain vikaa""",0 = Ei lainkaan ; 1 = Melko vähän ; 2 = Jonkin verran ; 3 = Melko paljon ; 4 = Erittäin paljon ,,
,Voit halutessasi antaa palautetta kysymyksistä,text; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = filled in the questionnaire after 26.1.2021 but did not give any feedback,Open question,
Depression,"Merkitse vastausvaihtoehto, joka parhaiten kuvaa sitä, kuinka usein viimeksi kuluneen viikon aikana tunsit seuraavalla tavalla: Viimeksi kuluneen viikon aikana…",,,Center for Epidemiologic Studies Depression Scale (CES-D)
,"Olin levoton asioista, joista en yleensä huolestu",0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,Radloff LS. The CES-D scale: a self-report depression scale for research in the general population. Appl Psychol Measurement. 1977;1:385-401. 
,Minun ei tehnyt mieli syödä; ruokahaluni oli huono,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Tunsin itseni alakuloiseksi perheeni ja ystävieni tuesta huolimatta,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,"Minusta tuntui, että olin aivan yhtä hyvä ihminen kuin muutkin",3 = Harvoin tai ei koskaan ; 2 = Joskus ; 1 = Melko usein ; 0 = Lähes koko ajan  ,,
,Minulla oli vaikeuksia keskittyä tekemisiini,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Tunsin itseni masentuneeksi,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Kaikki mitä tein tuntui vaivalloiselta,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Tulevaisuus tuntui toiveikkaalta,3 = Harvoin tai ei koskaan ; 2 = Joskus ; 1 = Melko usein ; 0 = Lähes koko ajan  ,,
,"Minusta tuntui, että olin epäonnistunut elämässäni",0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Pelkäsin monia asioita,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Nukuin levottomasti,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Olin onnellinen,3 = Harvoin tai ei koskaan ; 2 = Joskus ; 1 = Melko usein ; 0 = Lähes koko ajan  ,,
,Puhuin vähemmän kuin tavallisesti,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Tunsin itseni yksinäiseksi,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Ihmiset olivat epäystävällisiä,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Nautin elämästä,3 = Harvoin tai ei koskaan ; 2 = Joskus ; 1 = Melko usein ; 0 = Lähes koko ajan  ,,
,Minulla oli itkukohtauksia,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Olin surullinen,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,Tuntui kuin ihmiset eivät olisi pitäneet minusta,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
,En saanut itseäni kunnolla käyntiin,0 = Harvoin tai ei koskaan ; 1 = Joskus ; 2 = Melko usein ; 3 = Lähes koko ajan  ,,
Anxiety,"Alla on lueteltu tuntemuksia, joita voi esiintyä silloin, kun ihminen on ahdistunut. Valitse vastausvaihtoehto sen mukaan, miten paljon tuntemus on rasittanut sinua kuluneen viikon aikana tämä päivä mukaan lukien.  ",,,Beck Anxiety Inventory (BAI)
,Puutuminen tai kihelmöinti,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,"Beck AT, Epstein N, Brown G, Steer RA. An inventory for measuring clinical anxiety: Psychometric properties. Journal of Consulting and Clinical Psychology, 1988;56:893-7. "
,Kuuma olo (joka ei johdu lämpötilasta),"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Heikotus jaloissa,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Kyvyttömyys rentoutua,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,"Pelko siitä, että pahin tapahtuu","0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Huimaus,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Sydämentykytys,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Tasapainohäiriöt,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Kauhun tunne,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Hermostuneisuus,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Tukehtumisen tunne,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Käsien vapina,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Muu vapina,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Itsehillinnän menettämisen pelko,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Hengitysvaikeus,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Kuolemanpelko,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Yleinen pelokkuus,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Ruoansulatusvaikeudet,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Pyörtymisen pelko,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Punastuminen,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
,Hikoilu (joka ei johdu kuumuudesta) ,"0 = ei lainkaan ; 1 = lievästi ; 2 = kohtalaisesti   (hyvin epämiellyttävä, mutta kestin sen) ; 3 = vakavasti (niin vakavaa, että hädin tuskin kestin sen) ",,
